================================================================================
CODEPLUG ORIGINAL - INFORME COMPLETO
Archivo: D:\DL\Programacion Tytera UV380\codeplug_actual.bin
Tamano: 262144 bytes (256 KB)
Fecha del informe: 2026-09-16
================================================================================

--- IDENTIFICACION DEL EQUIPO ---
SN: ￿￿￿￿￿￿￿￿
Model: ￿￿￿￿￿￿￿￿
Code: ￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿

--- CANALES (1000 poblados) ---
   # Mode  Pwr   RX MHz     TX MHz     Tone RX    Tone TX    Contact  Name
----------------------------------------------------------------------------------------------------
   1 DMR   LOW   435.00000  435.00000  OFF        OFF        6        DIR Hotspot
   2 DMR   LOW   433.45000  433.45000  OFF        OFF        7        DIR Call DV
   3 DMR   LOW   431.00000  431.00000  OFF        OFF        7        DIR ComDig 1
   4 DMR   LOW   433.77500  433.77500  OFF        OFF        7        DIR ComDig 2
   5 DMR   LOW   438.60000  438.60000  OFF        OFF        7        DIR ComDig 3
   6 DMR   HIGH  439.17500  431.57500  OFF        OFF        1        ED5ZAD 1-1 BM
   7 DMR   HIGH  439.17500  431.57500  OFF        OFF        2        ED5ZAD 1-2 BM
   8 DMR   HIGH  439.17500  431.57500  OFF        OFF        3        ED5ZAD 1-14 BM
   9 DMR   HIGH  439.17500  431.57500  OFF        OFF        4        ED5ZAD 1-214 BM
  10 DMR   HIGH  439.17500  431.57500  OFF        OFF        6        ED5ZAD 1-9 BM
  11 DMR   HIGH  439.17500  431.57500  OFF        OFF        6        ED5ZAD 2-9 BM
  12 DMR   HIGH  439.17500  431.57500  OFF        OFF        21       ED5ZAD ECHO BM
  13 DMR   HIGH  439.17500  431.57500  OFF        OFF        9        ED5ZAD EA1 BM
  14 DMR   HIGH  439.17500  431.57500  OFF        OFF        10       ED5ZAD EA2 BM
  15 DMR   HIGH  439.17500  431.57500  OFF        OFF        11       ED5ZAD EA3 BM
  16 DMR   HIGH  439.17500  431.57500  OFF        OFF        12       ED5ZAD EA4 BM
  17 DMR   HIGH  439.17500  431.57500  OFF        OFF        13       ED5ZAD EA5 BM
  18 DMR   HIGH  439.17500  431.57500  OFF        OFF        14       ED5ZAD EA6 BM
  19 DMR   HIGH  439.17500  431.57500  OFF        OFF        15       ED5ZAD EA7 BM
  20 DMR   HIGH  439.17500  431.57500  OFF        OFF        16       ED5ZAD EA8 BM
  21 DMR   HIGH  439.17500  431.57500  OFF        OFF        29       ED5ZAD 2-YSF EA5
  22 DMR   HIGH  438.52500  430.92500  OFF        OFF        1        ED3ZAQ 1-1 BM
  23 DMR   HIGH  438.52500  430.92500  OFF        OFF        2        ED3ZAQ 1-2 BM
  24 DMR   HIGH  438.52500  430.92500  OFF        OFF        3        ED3ZAQ 1-14 BM
  25 DMR   HIGH  438.52500  430.92500  OFF        OFF        4        ED3ZAQ 1-214 BM
  26 DMR   HIGH  438.52500  430.92500  OFF        OFF        6        ED3ZAQ 1-9 BM
  27 DMR   HIGH  438.52500  430.92500  OFF        OFF        6        ED3ZAQ 2-9 BM
  28 DMR   HIGH  438.52500  430.92500  OFF        OFF        21       ED3ZAQ ECHO BM
  29 DMR   HIGH  438.52500  430.92500  OFF        OFF        9        ED3ZAQ EA1 BM
  30 DMR   HIGH  438.52500  430.92500  OFF        OFF        10       ED3ZAQ EA2 BM
